deg_label,degraded_detections,restored_detections,degraded_confidence,restored_confidence,degraded_texts,restored_texts
dark_mild,4,4,3.7916160576350633,3.7916160576350633,"['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']","['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']"
mblur_severe_h,0,0,0,0,[],[]
mblur_moderate_h,0,0,0,0,[],[]
mblur_moderate_d,0,0,0,0,[],[]
mblur_mild_v,2,2,0.6555687965499908,0.6555687965499908,"[""(MOWMNc'M"", 'DiP IARNING']","[""(MOWMNc'M"", 'DiP IARNING']"
gblur_heavy,2,0,0.421760720135767,0,"['Gomd', 'deep LeaRNING']",[]
gblur_mild,4,0,3.7151891638864134,0,"['GEOFENCE', 'DEEP', 'LEARNING', '[NVERSE KINEMATICS']",[]
combined_dark_blur,2,1,0.2927075233213134,0.32994819264144065,"['4 _ ` _ -', ' _ -']",['DEE? LEARNING']
combined_moderate,0,0,0,0,[],[]
dark_severe,4,3,3.779243421147446,0.7782675065794185,"['GEOFENCE', 'WIENER FILTER', 'ROBOT', 'ARM']","['(HME', 'WEAREUHR', 'BOROTT MRHL']"
dark_heavy,4,4,3.9222163603375635,3.9910311454352767,"['GEOFENCE', 'WIENER FILTER', 'ROBOT', 'ARM']","['GEOFENCE', 'WIENER FILTER', 'ROBOT', 'ARM']"
dark_moderate,4,4,3.946947971121271,3.946947971121271,"['GEOFENCE', 'WIENER FILTER', 'ROBOT', 'ARM']","['GEOFENCE', 'WIENER FILTER', 'ROBOT', 'ARM']"
dark_mild,4,4,3.994009563187679,3.994009563187679,"['GEOFENCE', 'WIENER FILTER', 'ROBOT', 'ARM']","['GEOFENCE', 'WIENER FILTER', 'ROBOT', 'ARM']"
mblur_severe_h,1,1,0.4238733391512055,0.4238733391512055,['_ _'],['_ _']
mblur_moderate_h,1,1,0.1503613414911971,0.1503613414911971,['4I'],['4I']
mblur_moderate_d,0,0,0,0,[],[]
mblur_mild_v,3,3,0.5297317842444194,0.5297317842444194,"['WIFR FILFR', ""1O1O'|"", 'AtM']","['WIFR FILFR', ""1O1O'|"", 'AtM']"
gblur_heavy,1,0,0.9950136518909595,0,['ROBOT ARM'],[]
gblur_mild,3,2,1.1285281443616473,0.3615985409218714,"['CEOFECE', 'Wiener filter', 'ROBOT ARM']","['uciefu', 'ROBOI ARiI']"
combined_dark_blur,1,3,0.1476440549278145,0.8837525570708338,['-- - -'],"['0257173', '5-=--', 'S_-']"
combined_moderate,0,1,0,0.34299216744513217,[],[' ']
dark_severe,4,4,2.8847715117131165,3.165708335348579,"['ROBOT ARM', 'LNquistic', 'DEEP', 'LEARNING']","['ROBOT ARM', 'LiNGuIStIC', 'DEEP', 'LEARNING']"
dark_heavy,4,4,3.326192045181825,3.1727861816889495,"['ROBOT ARM', 'LINGcUISTIC', 'DEEP', 'LEARNING']","['ROBOT ARM', 'LiNGuIStIC', 'DEEP', 'LEARNING']"
dark_moderate,4,4,2.893537711924074,2.893537711924074,"['ROBOT ARM', 'LInGuiSTIC', 'DEEP', 'LEARNING']","['ROBOT ARM', 'LInGuiSTIC', 'DEEP', 'LEARNING']"
dark_mild,4,4,3.18974190634099,3.18974190634099,"['ROBOT ARM', 'LiNGuIStIC', 'DEEP', 'LEARNING']","['ROBOT ARM', 'LiNGuIStIC', 'DEEP', 'LEARNING']"
mblur_severe_h,1,1,0.129017040503602,0.129017040503602,['ME'],['ME']
mblur_moderate_h,2,2,0.20932764044046595,0.20932764044046595,"['FEEP', 'IEC']","['FEEP', 'IEC']"
mblur_moderate_d,0,0,0,0,[],[]
mblur_mild_v,2,2,0.5791463710990232,0.5791463710990232,"['|| ANM', ""DMM' MaanInc""]","['|| ANM', ""DMM' MaanInc""]"
gblur_heavy,1,0,0.43384002766715357,0,['DEEF [EARNING'],[]
gblur_mild,4,0,2.633913557488504,0,"['Roboi ARv', 'LacuISTIC', 'DEEP', 'LEARNING']",[]
combined_dark_blur,0,1,0,0.1064759031331761,[],['33']
combined_moderate,1,0,0.10430681221066695,0,['a'],[]
dark_severe,4,1,3.480296306708088,0.10056930355777659,"['PIPELINE', 'DEBLURRING', 'INVERSE', 'KINEMATICS']",['JIRRME']
dark_heavy,4,4,3.76772183809174,3.731968868886495,"['PIPELINE', 'DEBLURRING', 'INVERSE', 'KINEMATICS']","['PIPELINE', 'DEBLURRING', 'INVERSE', 'KINEMATICS']"
dark_moderate,4,4,3.995614734879447,3.995614734879447,"['PIPELINE', 'DEBLURRING', 'INVERSE', 'KINEMATICS']","['PIPELINE', 'DEBLURRING', 'INVERSE', 'KINEMATICS']"
dark_mild,4,4,3.968342142181076,3.968342142181076,"['PIPELINE', 'DEBLURRING', 'INVERSE', 'KINEMATICS']","['PIPELINE', 'DEBLURRING', 'INVERSE', 'KINEMATICS']"
mblur_severe_h,1,1,0.148917224489907,0.148917224489907,['L='],['L=']
mblur_moderate_h,2,2,0.5358186258790214,0.5358186258790214,"['PFODE', '=']","['PFODE', '=']"
mblur_moderate_d,0,0,0,0,[],[]
mblur_mild_v,2,2,0.3190286687185789,0.3190286687185789,"[""PP'MNI"", 'INVWMW Kinimaic ']","[""PP'MNI"", 'INVWMW Kinimaic ']"
gblur_heavy,2,1,1.962148517550348,0.13042160263164052,"['PIPELINE', 'INVERSE KINEMATICS']",['PipburE']
gblur_mild,3,1,2.772227276327089,0.14138351902453758,"['PIPELINE', 'DEBLURRING', 'INVERSE KINEMATICS']",['PIPXLiNE']
combined_dark_blur,2,2,0.45320377148109386,0.48419433829306613,"['= - _ _ -', '_ - _ ` - -']","['FFEDE', 'JL=n']"
combined_moderate,0,0,0,0,[],[]
